,ID,Reaction,Name,Subsystem,Assigned_Subsystem,Assigned_Top_Category,Match_Score,Match_Keywords
7,COBG,2.0 h_c + nadh_c + o2_c + pre3a_c --> h2o_c + nad_c + pre3b_c,R_Precorrin_3B_synthase__CobG_,Unassigned,Unclassified,Unclassified,0,
10,DHQD,3dhq_c <=> 3dhsk_c + h2o_c,R_3_dehydroquinate_dehydratase,Unassigned,Unclassified,Unclassified,0,
35,DM__acmum6p,acmum6p_c --> ,R_DM__acmum6p_c_,Unassigned,Unclassified,Unclassified,0,
36,DM__ppi50,ppi50_c --> ,R_DM__ppi50,Unassigned,Unclassified,Unclassified,0,
37,DM_acgam,acgam_c --> ,R_DM__acgam,Unassigned,Unclassified,Unclassified,0,
38,DM_doxopa,doxopa_c --> ,R_DM_doxopa,Unassigned,Unclassified,Unclassified,0,
45,GLCS3,4.0 adpglc_c --> 4.0 adp_c + glyg4n_c + 4.0 h_c,R_glycogen_synthase__ADPGlc___4_units_,Unassigned,Unclassified,Unclassified,0,
49,GLYD,h_c + hpyr_c + nadh_c <=> glyc__R_c + nad_c,R_glycerate_dehydrogenase,Unassigned,Unclassified,Unclassified,0,
50,HACD9i,3hptcoa_c + nad_c --> 3optcoa_c + h_c + nadh_c,R_3_hydroxyacyl_CoA_dehydrogenase__3_oxovaleryl_CoA_,Unassigned,Unclassified,Unclassified,0,
51,HIUHY,5hiu_c + h2o_c <=> 5houdic_c,R_hydroxyisourate_hydrolase,Unassigned,Unclassified,Unclassified,0,
63,MAL1K,atp_c + malt_c --> adp_c + h_c + malt1p_c,R_maltokinase,Unassigned,Unclassified,Unclassified,0,
75,RDXRr,nadh_c + 2.0 rdxo_c <=> h_c + nad_c + 2.0 rdxr_c,R_Rubredoxin_oxidoreductase_reversible,Unassigned,Unclassified,Unclassified,0,
95,DHQTi,3dhq_c --> 3dhsk_c + h2o_c,"3-dehydroquinate dehydratase, irreversible",Unassigned,Unclassified,Unclassified,0,
111,2obut_Transport,2obut_e --> 2obut_c,,Unassigned,Unclassified,Unclassified,0,
112,f6p_Transport,f6p_e --> f6p_c,,Unassigned,Unclassified,Unclassified,0,
113,g1p_Transport,g1p_e --> g1p_c,,Unassigned,Unclassified,Unclassified,0,
